&a / °	I1 / %
-0,289	9,1
-0,294	8,8
-0,299	8,7
-0,305	8,5
-0,310	8,4
-0,316	8,0
-0,321	7,7
-0,326	7,6
-0,332	7,4
-0,337	7,2
-0,342	7,2
-0,348	7,1
-0,353	6,9
-0,358	6,8
-0,364	6,8
-0,369	6,8
-0,374	6,8
-0,380	6,8
-0,385	6,5
-0,390	6,4
-0,396	6,3
-0,401	6,0
-0,406	5,9
-0,412	5,6
-0,417	5,4
-0,422	5,2
-0,428	5,2
-0,433	5,2
-0,438	5,1
-0,444	5,1
-0,449	5,1
-0,455	5,1
-0,460	5,1
-0,465	5,2
-0,471	5,2
-0,476	5,2
-0,481	5,2
-0,487	5,2
-0,492	5,2
-0,497	5,2
-0,503	5,2
-0,508	4,9
-0,513	4,7
-0,519	4,7
-0,524	4,5
-0,529	4,4
-0,535	4,4
-0,540	4,4
-0,545	4,4
-0,551	4,4
-0,556	4,4
-0,561	4,5
-0,567	4,6
-0,572	4,8
-0,578	4,8
-0,583	4,9
-0,588	5,0
-0,594	5,1
-0,599	5,1
-0,604	5,2
-0,610	5,2
-0,615	5,2
-0,620	5,2
-0,626	5,2
-0,631	5,2
-0,636	5,5
-0,642	5,6
-0,647	5,8
-0,652	6,0
-0,658	6,3
-0,663	6,4
-0,668	6,8
-0,674	7,0
-0,679	7,3
-0,684	7,6
-0,690	8,0
-0,695	8,4
-0,701	8,8
-0,706	9,5
-0,711	10,0
-0,717	10,8
-0,722	11,9
-0,727	13,0
-0,733	14,4
-0,738	15,6
-0,743	17,3
-0,749	19,2
-0,754	21,3
-0,759	23,6
-0,765	26,0
-0,770	28,4
-0,775	30,8
-0,781	32,8
-0,786	34,4
-0,791	35,3
-0,797	36,1
-0,802	36,9
-0,807	37,6
-0,813	38,2
-0,818	38,6
-0,823	38,8
-0,829	38,8
-0,834	38,4
-0,840	37,5
-0,845	36,1
-0,850	34,4
-0,856	32,4
-0,861	30,8
-0,866	29,2
-0,872	27,8
-0,877	26,2
-0,882	24,5
-0,888	22,4
-0,893	20,3
-0,898	18,1
-0,904	16,0
-0,909	14,1
-0,914	12,4
-0,920	11,2
-0,925	10,0
-0,930	9,0
-0,936	8,2
-0,941	7,6
-0,946	7,2
-0,952	6,8
-0,957	6,4
-0,962	6,0
-0,968	5,6
-0,973	5,3
-0,979	5,2
-0,984	4,9
-0,989	4,7
-0,995	4,5
-1,000	4,4
-1,005	4,4
-1,011	4,4
-1,016	4,4
-1,021	4,4
-1,027	4,4
-1,032	4,4
-1,037	4,4
-1,043	4,4
-1,048	4,4
-1,053	4,4
-1,059	4,4
-1,064	4,5
-1,069	4,7
-1,075	4,8
-1,080	5,0
-1,085	5,2
-1,091	5,6
-1,096	6,0
-1,101	6,3
-1,107	6,7
-1,112	7,2
-1,118	7,7
-1,123	8,4
-1,128	9,4
-1,134	10,5
-1,139	12,0
-1,144	13,6
-1,150	15,6
-1,155	17,9
-1,160	20,6
-1,166	23,8
-1,171	27,2
-1,176	30,0
-1,182	32,4
-1,187	33,9
-1,192	35,0
-1,198	35,8
-1,203	36,5
-1,208	36,7
-1,214	36,0
-1,219	34,4
-1,224	32,1
-1,230	29,8
-1,235	27,6
-1,240	25,5
-1,246	23,2
-1,251	20,8
-1,256	18,4
-1,262	15,6
-1,267	13,3
-1,273	11,3
-1,278	9,7
-1,283	8,5
-1,289	7,6
-1,294	6,8
-1,299	6,4
-1,305	6,0
-1,310	5,6
-1,315	5,2
-1,321	4,9
-1,326	4,6
-1,331	4,4
-1,337	4,4
-1,342	4,4
-1,347	4,4
-1,353	4,4
-1,358	4,4
-1,363	4,4
-1,369	4,4
-1,374	4,4
-1,379	4,4
-1,385	4,6
-1,390	4,7
-1,395	4,9
-1,401	5,2
-1,406	5,6
-1,411	6,0
-1,417	6,8
-1,422	7,6
-1,428	8,4
-1,433	9,6
-1,438	11,2
-1,444	13,2
-1,449	16,0
-1,454	19,1
-1,460	22,3
-1,465	25,7
-1,470	28,8
-1,476	31,2
-1,481	32,9
-1,486	34,0
-1,492	34,9
-1,497	35,1
-1,502	34,0
-1,508	32,0
-1,513	29,4
-1,518	27,0
-1,524	24,5
-1,529	21,7
-1,534	18,8
-1,540	15,6
-1,545	12,9
-1,550	10,8
-1,556	9,2
-1,561	8,0
-1,566	7,1
-1,572	6,3
-1,577	5,8
-1,582	5,4
-1,588	5,0
-1,593	4,6
-1,599	4,5
-1,604	4,4
-1,609	4,4
-1,615	4,4
-1,620	4,4
-1,625	4,4
-1,631	4,4
-1,636	4,4
-1,641	4,8
-1,647	5,0
-1,652	5,3
-1,657	5,7
-1,663	6,1
-1,668	6,8
-1,673	7,6
-1,679	8,8
-1,684	10,4
-1,689	12,4
-1,695	15,2
-1,700	18,7
-1,705	22,6
-1,711	26,6
-1,716	30,0
-1,721	32,3
-1,727	33,8
-1,732	34,4
-1,737	33,8
-1,743	32,2
-1,748	29,8
-1,753	27,3
-1,759	24,8
-1,764	22,0
-1,769	18,8
-1,775	15,6
-1,780	12,8
-1,786	10,4
-1,791	8,8
-1,796	7,5
-1,802	6,5
-1,807	5,8
-1,812	5,3
-1,818	4,9
-1,823	4,8
-1,828	4,5
-1,834	4,5
-1,839	4,4
-1,844	4,4
-1,850	4,4
-1,855	4,6
-1,860	4,8
-1,866	5,2
-1,871	5,4
-1,876	5,8
-1,882	6,3
-1,887	7,0
-1,892	8,0
-1,898	9,2
-1,903	11,2
-1,908	14,0
-1,914	17,3
-1,919	21,5
-1,924	25,6
-1,930	29,2
-1,935	31,6
-1,940	33,1
-1,946	33,9
-1,951	33,5
-1,956	31,6
-1,962	28,8
-1,967	25,9
-1,972	22,7
-1,978	19,1
-1,983	15,5
-1,989	12,3
-1,994	9,9
-1,999	8,0
-2,005	6,9
-2,010	6,0
-2,015	5,4
-2,021	4,9
-2,026	4,5
-2,031	4,4
-2,037	4,4
-2,042	4,4
-2,047	4,4
-2,053	4,4
-2,058	4,7
-2,063	4,9
-2,069	5,3
-2,074	5,7
-2,079	6,4
-2,085	7,2
-2,090	8,5
-2,095	10,4
-2,101	12,9
-2,106	16,2
-2,111	20,5
-2,117	25,1
-2,122	29,1
-2,127	31,5
-2,133	32,8
-2,138	33,2
-2,143	32,2
-2,149	29,6
-2,154	26,5
-2,159	23,3
-2,165	19,7
-2,170	15,7
-2,175	12,4
-2,181	9,8
-2,186	8,0
-2,191	6,8
-2,197	6,0
-2,202	5,2
-2,207	4,8
-2,213	4,4
-2,218	4,4
-2,223	4,4
-2,229	4,4
-2,234	4,4
-2,240	4,8
-2,245	4,9
-2,250	5,2
-2,256	5,6
-2,261	6,4
-2,266	7,7
