x-axis,1,2,3
second,Volt,Volt,Volt
+1.98000E-03,+2.81150007E+00,+366.25000E-03,+199.50008E-03
+1.99000E-03,+2.87400007E+00,+360.00000E-03,+168.25008E-03
+2.00000E-03,+2.87400007E+00,+366.25000E-03,+137.00008E-03
+2.01000E-03,+2.81150007E+00,+366.25000E-03,+199.50008E-03
+2.02000E-03,+2.81150007E+00,+353.75000E-03,+168.25008E-03
+2.03000E-03,+2.81150007E+00,+347.50000E-03,+199.50008E-03
+2.04000E-03,+2.74900007E+00,+347.50000E-03,+199.50008E-03
+2.05000E-03,+2.68650007E+00,+347.50000E-03,+199.50008E-03
+2.06000E-03,+2.68650007E+00,+341.25000E-03,+168.25008E-03
+2.07000E-03,+2.74900007E+00,+341.25000E-03,+168.25008E-03
+2.08000E-03,+2.74900007E+00,+347.50000E-03,+199.50008E-03
+2.09000E-03,+2.74900007E+00,+341.25000E-03,+199.50008E-03
+2.10000E-03,+2.62400007E+00,+335.00000E-03,+168.25008E-03
+2.11000E-03,+2.68650007E+00,+335.00000E-03,+168.25008E-03
+2.12000E-03,+2.62400007E+00,+335.00000E-03,+199.50008E-03
+2.13000E-03,+2.62400007E+00,+328.75000E-03,+168.25008E-03
+2.14000E-03,+2.68650007E+00,+328.75000E-03,+199.50008E-03
+2.15000E-03,+2.68650007E+00,+328.75000E-03,+199.50008E-03
+2.16000E-03,+2.68650007E+00,+322.50000E-03,+230.75008E-03
+2.17000E-03,+2.56150007E+00,+316.25000E-03,+199.50008E-03
+2.18000E-03,+2.62400007E+00,+316.25000E-03,+199.50008E-03
+2.19000E-03,+2.62400007E+00,+316.25000E-03,+199.50008E-03
+2.20000E-03,+2.68650007E+00,+310.00000E-03,+199.50008E-03
+2.21000E-03,+2.56150007E+00,+310.00000E-03,+199.50008E-03
+2.22000E-03,+2.56150007E+00,+303.75000E-03,+199.50008E-03
+2.23000E-03,+2.56150007E+00,+297.50000E-03,+168.25008E-03
+2.24000E-03,+2.43650007E+00,+297.50000E-03,+168.25008E-03
+2.25000E-03,+2.43650007E+00,+297.50000E-03,+168.25008E-03
+2.26000E-03,+2.43650007E+00,+285.00000E-03,+230.75008E-03
+2.27000E-03,+2.43650007E+00,+291.25000E-03,+199.50008E-03
+2.28000E-03,+2.43650007E+00,+285.00000E-03,+199.50008E-03
+2.29000E-03,+2.37400007E+00,+278.75000E-03,+168.25008E-03
+2.30000E-03,+2.31150007E+00,+285.00000E-03,+168.25008E-03
+2.31000E-03,+2.37400007E+00,+272.50000E-03,+168.25008E-03
+2.32000E-03,+2.31150007E+00,+278.75000E-03,+199.50008E-03
+2.33000E-03,+2.31150007E+00,+266.25000E-03,+199.50008E-03
+2.34000E-03,+2.43650007E+00,+272.50000E-03,+199.50008E-03
+2.35000E-03,+2.31150007E+00,+266.25000E-03,+199.50008E-03
+2.36000E-03,+2.37400007E+00,+266.25000E-03,+199.50008E-03
+2.37000E-03,+2.37400007E+00,+272.50000E-03,+199.50008E-03
+2.38000E-03,+2.31150007E+00,+260.00000E-03,+199.50008E-03
+2.39000E-03,+2.24900007E+00,+260.00000E-03,+199.50008E-03
+2.40000E-03,+2.31150007E+00,+260.00000E-03,+199.50008E-03
+2.41000E-03,+2.31150007E+00,+253.75000E-03,+199.50008E-03
+2.42000E-03,+2.24900007E+00,+260.00000E-03,+199.50008E-03
+2.43000E-03,+2.31150007E+00,+260.00000E-03,+199.50008E-03
+2.44000E-03,+2.24900007E+00,+253.75000E-03,+199.50008E-03
+2.45000E-03,+2.24900007E+00,+247.50000E-03,+230.75008E-03
+2.46000E-03,+2.24900007E+00,+241.25000E-03,+199.50008E-03
+2.47000E-03,+2.24900007E+00,+247.50000E-03,+199.50008E-03
+2.48000E-03,+2.18650007E+00,+235.00000E-03,+199.50008E-03
+2.49000E-03,+2.18650007E+00,+241.25000E-03,+199.50008E-03
+2.50000E-03,+2.12400007E+00,+247.50000E-03,+199.50008E-03
+2.51000E-03,+2.18650007E+00,+241.25000E-03,+199.50008E-03
+2.52000E-03,+2.12400007E+00,+235.00000E-03,+199.50008E-03
+2.53000E-03,+2.18650007E+00,+235.00000E-03,+199.50008E-03
+2.54000E-03,+2.24900007E+00,+235.00000E-03,+199.50008E-03
+2.55000E-03,+2.12400007E+00,+228.75000E-03,+199.50008E-03
+2.56000E-03,+2.18650007E+00,+222.50000E-03,+199.50008E-03
+2.57000E-03,+2.06150007E+00,+222.50000E-03,+168.25008E-03
+2.58000E-03,+2.12400007E+00,+216.25000E-03,+199.50008E-03
+2.59000E-03,+2.06150007E+00,+216.25000E-03,+199.50008E-03
+2.60000E-03,+2.18650007E+00,+216.25000E-03,+199.50008E-03
+2.61000E-03,+2.12400007E+00,+228.75000E-03,+230.75008E-03
+2.62000E-03,+2.06150007E+00,+216.25000E-03,+168.25008E-03
+2.63000E-03,+2.06150007E+00,+210.00000E-03,+199.50008E-03
+2.64000E-03,+2.06150007E+00,+216.25000E-03,+199.50008E-03
+2.65000E-03,+2.12400007E+00,+216.25000E-03,+199.50008E-03
+2.66000E-03,+2.12400007E+00,+210.00000E-03,+199.50008E-03
+2.67000E-03,+2.12400007E+00,+210.00000E-03,+199.50008E-03
+2.68000E-03,+2.12400007E+00,+210.00000E-03,+199.50008E-03
+2.69000E-03,+1.99900007E+00,+197.50000E-03,+230.75008E-03
+2.70000E-03,+2.06150007E+00,+203.75000E-03,+168.25008E-03
+2.71000E-03,+1.99900007E+00,+197.50000E-03,+199.50008E-03
+2.72000E-03,+1.93650007E+00,+197.50000E-03,+199.50008E-03
+2.73000E-03,+1.99900007E+00,+197.50000E-03,+168.25008E-03
+2.74000E-03,+1.99900007E+00,+191.25000E-03,+199.50008E-03
+2.75000E-03,+1.99900007E+00,+197.50000E-03,+168.25008E-03
+2.76000E-03,+1.93650007E+00,+185.00000E-03,+168.25008E-03
+2.77000E-03,+1.93650007E+00,+185.00000E-03,+168.25008E-03
+2.78000E-03,+1.93650007E+00,+178.75000E-03,+230.75008E-03
+2.79000E-03,+1.87400007E+00,+178.75000E-03,+199.50008E-03
+2.80000E-03,+1.87400007E+00,+178.75000E-03,+168.25008E-03
+2.81000E-03,+1.99900007E+00,+178.75000E-03,+199.50008E-03
